GENUS,PHYLUM,ORDER
Candidatus Guanabacterium,Acidobacteria,Candidatus Guanabacteria
Acidicapsa,Acidobacteria,Acidobacteriales
Acidipila,Acidobacteria,Acidobacteriales
Acidisarcina,Acidobacteria,Acidobacteriales
Acidobacterium,Acidobacteria,Acidobacteriales
Alloacidobacterium,Acidobacteria,Acidobacteriales
Bryocella,Acidobacteria,Acidobacteriales
Candidatus Koribacter,Acidobacteria,Acidobacteriales
Candidatus Sulfotelmatobacter,Acidobacteria,Acidobacteriales
Candidatus Sulfotelmatomonas,Acidobacteria,Acidobacteriales
